,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
2006,70.868267735144,,,-16.3186041548541,5.04619555585526,0.644012233201963,9.09650632380644,,4.39444682311126,11.225,49.5704618770371,,74.2052265865927,5.28,54.146
2007,66.9388746305668,,,-6.23814446026102,5.67459177685805,-0.635804298088587,10.7690643740435,,4.10054365333056,11.225,49.5839208010869,,76.3793535157197,5.21,54.511
2008,65.6405173888153,,,-4.27294699207082,4.47667273608019,0.843363715439807,15.9501259770903,,3.5523398057458,11.225,49.5850103747984,,74.2279600990172,8.35,54.875
2009,65.8946920115445,,,-12.4743881194655,5.91204279337705,4.27155320051828,-2.78022303939403,,4.02770775856936,11.225,49.5775827867801,,59.9438252393676,5.69,55.237
2010,65.4955827080745,,,-27.7454834821403,5.19190584075331,2.82697106833621,6.8992650940543,,4.05614173609585,11.225,49.5736646867346,,64.0101646947258,6.23,55.6
2011,65.4332716281491,,,-26.1520902042094,2.8500028435797,1.07121071780338,11.5740778155847,,4.05614173609585,48.3366666666667,49.5731244791416,,50.6960943456553,6.23,54.58
2012,66.9195396903742,,,5.4555993515808,-26.3390170772532,-25.9560309972065,26.2462552485551,,4.05614173609585,64.5808333333333,49.5993301863468,,35.3686903315942,6.23,53.555
2013,71.6990633976703,,,37.7285964100716,-26.3000876615061,-22.5827773307621,31.7701939095293,,4.05614173609585,108.733333333333,49.6459025690687,,44.7052547833532,6.23,52.529
2014,77.7771171894011,,,47.8337350026633,-10.310339909053,-4.14663574302196,37.0945840345087,86.3000030517578,4.05614173609585,154.13,49.6928551476574,,54.2644225210945,6.23,51.5
2015,80.9126541140768,,,47.8337350026633,-4.179791613232,0.0084650386573628,38.2145477487644,86.3000030517578,4.05614173609585,237.029166666667,49.7633106607296,,51.0862078228369,6.23,52.168
2016,80.1246656652147,,,47.8337350026633,-6.4055907393619,-5.28022453338099,36.8710415587113,86.3000030517578,4.05614173609585,460.275833333333,49.8494412320123,,67.1119365330928,6.23,52.835
