,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1960,67.4069510446206,,,,,,,,7.46024831191462,0.0001799996053826,49.6979547394599,,,,76.848
1961,66.9870116967332,,,,11.2038906187628,7.59141823609927,8.60934375923013,,7.86501626310083,0.0001799996053826,49.7720101079011,,,,77.985
1962,67.2292024632942,,,,10.1561172182462,4.96777850931878,8.91004308852743,,9.16079196040198,0.0002899993642886,49.8168754816971,,,,78.754
1963,67.5725020497519,,,,10.6957231497208,6.69411230866319,7.69150877930645,,9.7535741158766,0.000299999342371,49.8420873416482,,,,79.502
1964,67.6487841224683,,,,7.93718642275134,3.75053191908098,5.44308224852034,,8.98462696194367,0.000299999342371,49.8646193413103,,,,80.232
1965,67.5404960190354,,,,8.99794750184645,5.25552870349979,-1.30786440112604,,8.56915377616015,0.000299999342371,49.8922773843413,,,,80.94
1966,67.3128374577104,,,,-0.0796470240328091,-2.58810776819934,8.73082288465234,,9.43467336683417,0.000299999342371,49.925138690642,,,,81.63
1967,67.0066626228138,,,,2.9950264634292,-1.35740452737511,-1.68818351341629,,15.4425144747725,0.0003083326574396,49.9588955892821,,,,82.3
1968,66.6583426681032,,,,16.2419518797074,13.8366599749542,-1.39929452148753,,17.4280147218013,0.0003499992327828,49.992402106242,,,,82.952
1969,66.3106337028353,,,,13.5657021560075,10.6446517703473,1.59626266238079,,19.0893169877408,0.0003499992327828,50.0282663624478,,,,83.582
1970,65.9936315153477,,,,7.30733553016547,3.80739889720445,9.59824380631598,,23.4470563207999,0.0003499992327828,50.0653802842663,,58.6154629675995,,84.195
1971,65.7186487207427,,,-3.46822340102085,10.9510709059369,7.51661286225365,14.4563565447729,,22.7998034775922,0.0003791658355221,50.1018372350788,,59.3299362515934,,84.789
1972,65.7309641035576,,,-12.8899805206432,12.1465549312384,9.33220364802114,16.5862222787831,,20.3710188427547,0.0004179796714114,50.1260797148536,,56.3213449019533,,85.351
1973,66.2399605649317,,,20.7959415415465,5.58746352962901,1.40004124199882,22.2405655268034,,27.856092653735,0.0004194692306552,50.1329415588275,,65.0753446892364,2.38,85.793
