,Age dependency ratio (% of working-age population),CPIA gender equality rating (1=low to 6=high),"Central government debt, total (% of GDP)","Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)","Literacy rate, adult total (% of people ages 15 and above)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),"Unemployment, male (% of male labor force) (national estimate)",Urban population (% of total population)
1960,85.0568370871075,,,,,,,,,0.348241999348242,49.792013676139,,41.691698525396,,37.864
1961,85.4115545796239,,,,5.16111414342448,2.47723455139828,1.60997143777944,,,0.348241999348242,49.8091131017145,,37.3881932021467,,38.272
1962,85.3234817699382,,,,3.87561672369634,1.17722365013691,0.396026870374854,,6.67547918043622,0.40448912538026,49.815349274816,,34.5708509465172,,38.624
1963,85.09031432283,,,,10.5180926173666,7.65044443289365,0.915371108625678,,8.6646884272997,0.434782608884688,49.8199685967237,,41.3457841252403,,38.977
1964,84.9466682754593,,,,11.5075774740325,8.64303260452279,0.862295139785658,,10.3283898305085,0.434782608884688,49.8247441694226,,43.2722832722833,,39.331
1965,84.8054838088407,,,,4.91404229223662,2.27569981183935,5.46455767944256,,10.1174345076784,0.434782608884688,49.8305504418761,,37.2632972853675,,39.686
1966,84.5598749438282,,,,5.04640371248233,2.44632089168518,2.75119762106486,,8.71826883062838,0.434782608884688,49.8407831667932,,36.8175683965158,,40.042
1967,84.2348605344697,,,,0.805264127039209,-1.66762140746077,2.83201329328801,,8.90769850866586,0.434782608884688,49.8564899883092,,35.939719109989,,40.399
1968,83.8303039527089,,,,-1.60679234956356,-3.99804501955977,1.80143115336028,,11.1330438215555,0.434782608884688,49.8705585578465,,29.26348956282,,40.758
1969,83.3866517708062,,,,5.27951751357089,2.74715073736938,0.806310204656143,,14.3360534124629,0.434782608884688,49.8824279728261,,29.9858977213687,,41.117
1970,82.9824670994533,,,,5.59851503851672,3.12088049511445,12.5161736901605,,15.9878828677213,0.434782608884688,49.8939766876659,,30.6627936031984,,41.477
1971,82.6650582534282,,,-109.712594572638,4.05734632653112,1.68044196747962,1.32672970163317,,17.1870121760849,0.434782641394297,49.901158139977,,31.0246763634209,,41.838
1972,82.4163278694793,,,-40.2992412937825,3.05568062514286,0.710927875139689,3.39909361924914,,13.5645302897278,0.434782608884688,49.9037793469131,,30.0853465291485,,42.2
1973,82.2081657372434,,,-22.8286514980815,3.50683016247268,1.15304427498042,7.35261504267174,,13.5135135135135,0.397956243179606,49.9072193948996,,31.6962722041531,,42.563
