"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Viet Nam","VNM","Internally displaced persons, total displaced by conflict and violence (number of people)","VC.IDP.TOCV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Voice and Accountability: Standard Error","VA.STD.ERR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.208809837698936","","0.214446097612381","","0.202820122241974","","0.164575070142746","0.157153591513634","0.150907725095749","0.149609610438347","0.115202136337757","0.116779685020447","0.113508991897106","0.115316621959209","0.113881908357143","0.112237073481083","0.112144351005554","0.11064151674509","0.127800077199936","0.130149632692337","0.125803455710411","0.123887978494167","0.1267129778862","0.120741665363312","0.126113280653954","0.127883553504944","0.125905126333237","0.12341433763504",
"Viet Nam","VNM","Voice and Accountability: Number of Sources","VA.NO.SRC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","6","","7","","9","10","11","12","15","15","15","15","15","16","16","15","12","11","11","12","12","11","10","10","10","10",
"Viet Nam","VNM","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8401529745757","10.5241123781855","13.1303195968336","18.8147980828908","27.1630278606772","33.5956426471693","32.0548869012837","36.3691117529912","38.0569617054575","41.7381332957129","40.7501595675465","40.4334300320093","41.7401040421189","41.5396346544198","42.689178907016","",
"Viet Nam","VNM","Export value index (2015 = 100)","TX.VAL.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","0.2094203955","0.248137966","0.3256964485","0.3812988456","0.4017707143","0.4320149173","0.4880500395","0.5282518268","0.6422394879","1.2035807681","1.4868491041","1.2907878865","1.5963217711","1.8461915874","2.507357016","3.3622383727","4.4766084409","5.6674911829","5.7760898162","7.1212319801","8.9365568645","9.2734594461","10.3082316497","12.4328775259","16.3422432182","20.017936742","24.5742664524","29.9639672665","38.6790076013","35.2305875728","44.5727455219","59.7944532314","70.668815115","81.4692472676","92.6897500147","100","108.9570192562","132.6715857658","150.371283196","163.0630937662","174.3927075651","207.2810585436","","",
"Viet Nam","VNM","Merchandise exports to low- and middle-income economies in Sub-Saharan Africa (% of total merchandise exports)","TX.VAL.MRCH.R6.ZS","1.65094339622642","0.872093023255814","3.58855576941898","0.926376247713009","","","","","","","","0.190839694656489","0.138376383763838","0.131029399721563","","","","","","","","0.0920488962368096","0.0121851534096103","0.00933300677154493","0.0560273156685477","","","","0.00423714939996187","0.000485396836183422","0.000673363597726249","0.000274114416271066","0.0486688053521976","0.0103512074231222","0.00927418181244151","0.0906236465617285","0.145842399342007","0.317228121887633","0.446976163276954","1.00831218765612","0.747295381752417","0.678357658641137","0.456813619950517","0.677311312702859","0.975033589522026","1.16983573756839","0.836676978973933","0.685272562310245","1.04852973050841","1.50046699879441","1.34937006624208","2.63436283595603","1.21379466443827","1.2230633370358","1.04172182619363","1.33773237219286","1.05082898999659","0.823564331037196","0.683402381670058","0.705902550272954","0.679074268932498","","","",
"Viet Nam","VNM","Merchandise exports to low- and middle-income economies in Europe & Central Asia (% of total merchandise exports)","TX.VAL.MRCH.R2.ZS","","","","0.00463188123856504","","","","","","","","","","","","","","","","","","","","","","1.34257254222607","0.845569504748724","1.17185807990878","0.958751350591371","0.511891413491767","0.958434057304827","0.140483638338921","3.67943023223931","4.82821853040324","2.47270406036506","1.59649220828812","1.45619923342276","1.70948074204831","1.71831175383991","1.37605895177399","1.22512942907299","1.63946241756997","1.51764410655369","1.12224290654448","1.18079095231882","1.12671303421623","1.62435773368981","1.69731718384048","2.16273261108741","1.51020011684125","2.15092929746679","2.44193601133162","2.46127148376778","2.6204391687315","2.51698685521618","2.01906009821479","1.90745061952938","2.15240739322023","1.73481634640342","1.58550325347747","1.6080392407649","","","",
"Viet Nam","VNM","Merchandise exports (current US$)","TX.VAL.MRCH.CD.WT","86000000","71000000","33000000","45000000","28000000","21000000","15000000","11000000","8000000","8000000","8000000","8000000","13000000","58000000","25000000","229000000","402000000","594000000","648000000","587000000","338000000","401000000","526000000","616000000","649000000","698000000","789000000","854000000","1038000000","1946000000","2404000000","2087000000","2581000000","2985000000","4054000000","5449000000","7255000000","9185000000","9361000000","11541000000","14483000000","15029000000","16706000000","20149000000","26485000000","32442000000","39826000000","48561000000","62685000000","57096000000","72237000000","96906000000","114529000000","132033000000","150217000000","162065000000","176581000000","215014000000","243699000000","264268000000","282629000000","335978000000","371288000000","353782000000",
"Viet Nam","VNM","Insurance and financial services (% of commercial service exports)","TX.VAL.INSF.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.12600355078251","2.02566998472795","1.76106672722403","1.98706833367132","1.94996628084631","2.3206701343846","2.42283029037707","2.37635535307575","3.120373031429","4.06734388559352","3.8237266438201","3.30731274076361","2.77380085664387","4.05331094673321","4.35735005133602","3.39020724036877","3.19709072112002","2.33044349338826","2.12289412461467","1.96482148942489","1.93958063470511","1.83618700254638","1.89968039857949","1.75204147370786","1.87609749919639","2.1068687246648","",
"Viet Nam","VNM","Net barter terms of trade index (2015 = 100)","TT.PRI.MRCH.XD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.0733685861","72.1265305411","72.7041203764","76.8526146501","78.5355186105","82.9795507475","85.7775125079","87.4914304396","92.3767387792","92.0632430138","96.5094792244","96.0597762226","95.8573827211","95.8082956193","97.8900321679","100","103.8457475003","104.2102250508","102.5841634157","105.0521391387","104.2807071029","101.6808562936","","",
"Viet Nam","VNM","Computer, communications and other services (% of commercial service imports)","TM.VAL.OTHR.ZS.WT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Viet Nam","VNM","Merchandise imports by the reporting economy, residual (% of total merchandise imports)","TM.VAL.MRCH.RS.ZS","2.54590984974958","2.2143139580862","1.70310805926997","0.551388729053983","0","0","0","0","0","0","0","0","1.45622284236146","0","","","","","","","","1.30865109767243","0.774336664496137","0.808790609079037","7.77175092546316","80.4412020149383","81.8360423575726","84.2058443288211","82.9568390733714","85.0512118285868","50.8434065595747","28.6060085643308","30.2034519778677","11.7004145052632","13.4789246329177","9.34578354679621","6.69394434046606","4.41145201541206","0.0748377116282985","0.322838718776204","0.795468030021553","1.27531757290969","0.91919212339596","0.853501951002517","0.520194677587001","0.51793880982539","0.826889953540565","0.748198406425778","1.00628275786205","1.83419873395733","0","3.83043315871633E-05","-0.000248050877821569","0.000317492921134475","-0.000204591926484144","7.36057230480935","6.8781901255751","6.52742226748163","6.95024361562772E-05","7.56747639681462E-06","6.71015383034844","","","",
"Viet Nam","VNM","Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports)","TM.VAL.MRCH.R3.ZS","1.3355592654424","0.55357848952155","1.02849054330804","0.389274438479128","","","","","","","","","3.14308650942314","","","","","","","","","0.00194450385984016","0.0126525597721376","","0.771347209422219","0.68937814834115","0.264537620627717","0.353061262727598","0.287812062423367","0.253618599840639","0.243235207706964","0.157318829605905","0.290098274011066","0.183080590883433","0.031240312499249","0.167230602362763","0.103961645844357","0.0789634458276825","0.165281349653566","0.3888917182177","0.385983508713953","0.533974583729933","0.653816541108685","0.87567083639417","0.778258799618078","1.05165515077601","0.991287802973634","1.18985216710173","1.0973462755976","1.71768493529149","1.83288010961955","1.89467433991898","1.9198249901469","2.08468334725897","2.77792579739514","3.00115349874881","2.75421696833559","2.44216724620428","2.61672463003714","2.69195488749583","2.52362019582654","","","",
"Viet Nam","VNM","Merchandise imports from high-income economies (% of total merchandise imports)","TM.VAL.MRCH.HI.ZS","86.9782971619366","87.6235666271253","89.0521473316468","98.4974406956905","100","100","100","100","100","100","100","100","89.7636250111498","100","","","","","","","","95.2631885974294","90.3676185069523","94.6635475070694","86.1770901309378","17.0129841931562","15.8474321846835","13.2777184454551","15.0743290793932","13.6391729593102","46.6649895060175","65.6727977780427","60.3889008175737","74.4393602882806","68.3182206891201","71.9851413851116","78.8155727314593","79.5386234154364","79.0443885598038","77.032598807401","74.4515208276501","72.8361635006985","70.0069888263683","68.0897399330622","65.718763326031","63.9474879549806","63.7382465609017","60.8236236966805","60.2041309508323","53.6705418771111","54.9204536368333","56.8833832894397","56.7394191580079","53.9839372510792","51.5365805873951","47.8236408886274","48.7898920595399","50.1233882472615","53.6754153492977","52.0235626810648","47.0972151860928","","","",
